TOR2014,Opponent/G,243.4,36.1,80.2,0.45,6.9,19.2,0.36,29.1,60.9,0.478,19.0,25.3,0.752,10.4,30.5,41.0,21.0,7.3,4.3,14.9,22.1,98.0,TOR,2014
TOR2015,Opponent/G,242.1,38.0,82.8,0.459,7.7,22.3,0.346,30.3,60.5,0.501,17.2,23.5,0.733,11.2,31.2,42.5,22.8,6.9,5.0,14.4,20.3,100.9,TOR,2015
BOS2014,Opponent/G,240.6,37.8,81.4,0.465,6.6,18.9,0.347,31.2,62.5,0.5,18.5,24.3,0.761,10.6,31.7,42.3,22.1,7.4,4.5,14.2,19.1,100.7,BOS,2014
BOS2015,Opponent/G,242.4,38.1,84.7,0.45,7.4,22.0,0.336,30.7,62.7,0.49,17.6,23.3,0.755,10.9,33.8,44.7,21.9,7.1,5.3,15.1,18.8,101.2,BOS,2015
NYK2014,Opponent/G,242.1,35.8,78.1,0.458,8.7,23.4,0.371,27.1,54.6,0.496,19.1,25.0,0.765,10.3,31.7,42.0,19.7,6.3,3.4,14.5,19.6,99.4,NYK,2014
NYK2015,Opponent/G,242.1,37.0,80.4,0.46,8.5,22.3,0.38,28.5,58.1,0.49,18.8,24.8,0.759,11.0,32.5,43.5,21.7,8.0,4.3,14.1,19.1,101.2,NYK,2015
BRK2014,Opponent/G,242.4,36.3,79.4,0.458,8.1,22.0,0.367,28.3,57.4,0.492,18.8,24.7,0.76,11.2,31.6,42.9,21.0,7.4,4.1,15.8,20.8,99.5,BRK,2014
BRK2015,Opponent/G,243.0,38.4,84.3,0.456,8.5,23.7,0.358,29.9,60.6,0.494,15.6,21.3,0.731,11.4,32.9,44.3,23.7,7.8,4.5,13.9,20.0,100.9,BRK,2015
PHI2014,Opponent/G,242.1,40.0,85.1,0.471,9.0,24.4,0.37,31.0,60.7,0.511,20.8,27.6,0.754,11.9,35.0,46.9,26.1,9.0,6.8,17.0,20.6,109.9,PHI,2014
PHI2015,Opponent/G,241.5,37.1,82.7,0.449,8.0,22.9,0.35,29.1,59.8,0.487,18.7,24.7,0.756,11.5,34.8,46.3,23.7,9.5,5.5,16.8,20.2,101.0,PHI,2015
CLE2014,Opponent/G,243.0,37.8,83.5,0.452,9.3,25.4,0.367,28.4,58.1,0.49,16.6,22.0,0.757,10.3,32.3,42.5,24.8,7.2,5.6,14.0,19.5,101.5,CLE,2014
CLE2015,Opponent/G,241.2,38.1,83.5,0.456,7.7,22.5,0.343,30.3,61.0,0.497,14.8,19.9,0.745,10.8,30.3,41.1,24.1,7.8,4.5,13.3,20.5,98.7,CLE,2015
IND2014,Opponent/G,241.2,34.8,82.7,0.42,6.6,19.0,0.345,28.2,63.7,0.443,16.3,21.6,0.755,10.4,30.7,41.2,18.6,7.2,4.6,13.7,21.9,92.3,IND,2014
IND2015,Opponent/G,242.1,36.0,82.7,0.435,7.2,20.9,0.345,28.8,61.8,0.465,17.9,23.8,0.753,9.8,33.0,42.7,19.9,7.5,4.7,12.7,21.4,97.0,IND,2015
DET2014,Opponent/G,241.2,39.1,83.2,0.47,8.3,22.8,0.365,30.8,60.3,0.51,18.1,24.0,0.756,11.1,31.9,43.0,24.4,8.2,4.9,15.0,20.7,104.7,DET,2014
DET2015,Opponent/G,241.8,37.9,83.1,0.456,7.7,21.8,0.355,30.1,61.3,0.491,16.0,20.7,0.772,10.7,33.4,44.1,23.8,7.0,4.8,14.0,19.3,99.5,DET,2015
CHI2014,Opponent/G,243.0,35.0,81.2,0.43,6.6,18.7,0.351,28.4,62.5,0.454,15.3,20.3,0.753,10.7,30.6,41.3,19.6,7.6,6.0,14.4,20.9,91.8,CHI,2014
CHI2015,Opponent/G,242.4,37.7,86.7,0.435,6.6,19.6,0.335,31.2,67.1,0.465,15.7,21.0,0.749,11.7,31.7,43.4,20.2,7.5,5.4,12.2,21.2,97.8,CHI,2015
MIL2014,Opponent/G,242.4,38.4,82.0,0.468,8.5,22.3,0.382,29.9,59.7,0.5,18.4,24.5,0.751,11.7,31.8,43.5,22.8,7.8,5.0,14.1,20.6,103.7,MIL,2014
MIL2015,Opponent/G,243.0,35.6,81.5,0.437,8.2,24.1,0.342,27.3,57.4,0.476,18.0,24.3,0.742,11.4,31.4,42.9,22.3,8.6,4.8,17.4,20.1,97.4,MIL,2015
MIA2014,Opponent/G,242.4,36.1,79.0,0.457,8.5,23.4,0.362,27.6,55.6,0.497,16.8,22.3,0.75,10.8,29.5,40.3,21.4,8.1,3.1,16.7,20.4,97.4,MIA,2014
MIA2015,Opponent/G,240.6,36.1,79.5,0.454,8.1,23.0,0.353,28.0,56.5,0.495,17.0,23.2,0.73,10.9,30.1,41.0,21.3,7.9,4.4,14.8,20.9,97.3,MIA,2015
ATL2014,Opponent/G,241.8,38.6,83.5,0.462,8.0,21.9,0.365,30.6,61.6,0.497,16.4,21.9,0.748,10.8,32.8,43.5,23.2,8.2,4.3,15.2,20.0,101.5,ATL,2014
ATL2015,Opponent/G,240.6,36.5,83.1,0.439,8.8,25.8,0.341,27.7,57.4,0.483,15.4,20.1,0.764,11.6,32.1,43.6,23.5,7.4,4.9,16.1,19.6,97.1,ATL,2015
CHO2015,Opponent/G,242.7,36.8,83.7,0.44,7.9,22.1,0.357,28.9,61.5,0.47,15.8,20.4,0.772,8.9,35.2,44.1,22.1,6.1,5.4,12.6,20.8,97.3,CHO,2015
WAS2014,Opponent/G,244.6,37.0,80.9,0.458,7.5,21.5,0.347,29.6,59.4,0.498,17.8,23.3,0.765,10.1,32.1,42.2,22.2,7.7,3.9,16.0,19.5,99.4,WAS,2014
WAS2015,Opponent/G,243.4,36.2,83.5,0.433,8.0,23.0,0.349,28.1,60.5,0.465,17.5,23.7,0.738,10.0,31.7,41.7,19.9,8.0,4.3,14.0,19.6,97.8,WAS,2015
ORL2014,Opponent/G,243.4,38.1,83.7,0.456,8.0,21.7,0.371,30.1,62.0,0.485,17.7,22.9,0.77,10.5,33.5,44.0,22.5,7.1,5.4,14.0,18.3,102.0,ORL,2014
ORL2015,Opponent/G,240.9,38.0,82.0,0.463,8.3,22.6,0.368,29.6,59.4,0.499,17.2,22.9,0.751,10.1,33.4,43.5,23.4,7.7,5.4,14.5,17.9,101.4,ORL,2015
OKC2014,Opponent/G,241.5,36.4,83.4,0.436,8.6,24.0,0.358,27.8,59.4,0.468,18.4,25.4,0.727,11.0,30.0,40.9,21.8,8.2,3.6,15.2,20.4,99.8,OKC,2014
OKC2015,Opponent/G,241.8,37.6,85.5,0.44,8.3,24.2,0.343,29.3,61.3,0.479,18.2,24.5,0.745,11.2,31.5,42.7,22.1,7.8,4.6,13.6,20.4,101.8,OKC,2015
POR2014,Opponent/G,242.1,39.6,87.8,0.451,6.5,18.3,0.355,33.1,69.5,0.476,17.0,22.2,0.766,11.5,32.0,43.5,20.4,7.8,3.7,12.0,20.7,102.8,POR,2014
POR2015,Opponent/G,242.1,38.2,86.9,0.439,6.4,18.9,0.338,31.8,67.9,0.468,15.8,20.9,0.758,11.0,33.6,44.6,20.4,8.0,3.6,12.2,18.7,98.6,POR,2015
UTA2014,Opponent/G,241.2,38.3,81.0,0.473,7.3,19.4,0.376,31.0,61.6,0.503,18.3,23.7,0.773,10.3,32.2,42.5,21.8,7.5,4.9,12.6,20.4,102.2,UTA,2014
UTA2015,Opponent/G,240.3,35.8,80.3,0.446,7.4,20.4,0.362,28.4,60.0,0.474,16.0,21.5,0.744,9.9,29.3,39.2,19.4,8.2,4.7,13.1,19.6,94.9,UTA,2015
DEN2014,Opponent/G,240.9,39.5,86.4,0.457,7.4,21.0,0.351,32.1,65.4,0.491,20.2,26.4,0.763,11.3,32.5,43.8,22.5,8.5,5.6,14.4,21.7,106.5,DEN,2014
DEN2015,Opponent/G,242.4,38.6,84.3,0.458,7.7,22.2,0.346,30.9,62.0,0.498,20.1,26.9,0.748,11.0,34.1,45.1,23.1,7.5,6.1,14.4,20.7,105.0,DEN,2015
MIN2014,Opponent/G,242.1,40.5,86.0,0.471,8.1,22.2,0.364,32.4,63.8,0.508,15.2,20.1,0.756,11.1,33.1,44.2,22.9,7.9,5.6,16.4,23.6,104.3,MIN,2014
MIN2015,Opponent/G,241.5,41.1,84.5,0.487,8.5,23.1,0.367,32.6,61.4,0.531,15.8,20.8,0.759,11.6,31.9,43.6,23.6,8.4,5.5,15.2,21.4,106.5,MIN,2015
GSW2014,Opponent/G,241.8,36.8,84.4,0.436,6.9,20.2,0.344,29.9,64.2,0.465,18.9,24.7,0.765,10.7,32.6,43.3,20.5,7.9,4.2,15.0,19.3,99.5,GSW,2014
GSW2015,Opponent/G,240.6,37.0,86.4,0.428,7.2,21.4,0.337,29.7,65.0,0.458,18.7,24.5,0.763,11.7,32.8,44.5,21.0,8.3,3.6,16.2,18.8,99.9,GSW,2015
LAC2014,Opponent/G,240.9,37.4,84.9,0.441,7.3,21.8,0.332,30.2,63.0,0.479,18.9,25.0,0.755,12.3,31.4,43.7,23.3,7.0,3.5,15.4,23.4,101.0,LAC,2014
LAC2015,Opponent/G,240.6,36.4,82.3,0.442,8.3,23.9,0.349,28.1,58.4,0.481,19.0,25.7,0.741,10.6,32.3,42.9,23.2,6.7,3.0,14.3,21.5,100.1,LAC,2015
SAC2014,Opponent/G,241.8,37.8,82.1,0.461,8.5,22.4,0.38,29.4,59.8,0.491,19.2,26.1,0.737,9.9,31.3,41.2,23.5,7.8,5.6,13.6,23.1,103.4,SAC,2014
SAC2015,Opponent/G,242.1,39.5,86.5,0.456,8.8,25.1,0.349,30.7,61.5,0.5,17.3,23.1,0.748,11.0,30.2,41.2,23.3,8.7,6.2,12.9,23.9,105.0,SAC,2015
PHO2014,Opponent/G,240.9,38.0,83.4,0.456,6.8,19.9,0.341,31.2,63.5,0.492,19.8,25.8,0.766,11.3,31.5,42.8,20.3,7.5,4.0,15.3,21.3,102.6,PHO,2014
PHO2015,Opponent/G,242.4,38.4,85.0,0.452,7.7,21.9,0.352,30.7,63.1,0.486,18.8,24.8,0.759,11.6,33.7,45.3,21.1,7.9,4.1,15.6,20.3,103.3,PHO,2015
LAL2014,Opponent/G,240.3,42.0,89.6,0.468,8.1,22.5,0.361,33.8,67.2,0.504,17.2,23.7,0.727,13.0,36.0,49.0,25.8,9.6,4.7,14.2,19.3,109.2,LAL,2014
LAL2015,Opponent/G,243.0,38.8,83.1,0.466,8.5,23.4,0.363,30.3,59.7,0.507,19.2,25.8,0.745,10.0,34.1,44.2,24.0,7.5,4.8,13.0,19.4,105.3,LAL,2015
SAS2014,Opponent/G,240.9,37.8,85.1,0.444,6.5,18.3,0.353,31.3,66.8,0.469,15.7,20.6,0.76,10.5,31.7,42.2,20.4,7.7,4.6,13.9,19.3,97.6,SAS,2014
SAS2015,Opponent/G,243.4,37.1,83.7,0.444,6.8,18.9,0.36,30.3,64.8,0.468,15.9,21.4,0.745,9.9,32.2,42.1,20.7,7.9,4.4,14.2,19.7,97.0,SAS,2015
DAL2014,Opponent/G,241.8,37.8,81.4,0.464,8.3,23.0,0.359,29.5,58.4,0.505,18.7,24.6,0.758,11.5,31.3,42.8,22.0,7.7,3.5,16.0,19.9,102.4,DAL,2014
DAL2015,Opponent/G,242.4,38.0,84.5,0.45,9.0,24.8,0.364,29.0,59.7,0.485,17.3,22.9,0.753,12.3,33.9,46.1,22.3,7.3,3.8,16.3,22.1,102.3,DAL,2015
MEM2014,Opponent/G,241.5,35.7,79.3,0.45,7.5,21.1,0.355,28.2,58.2,0.484,15.8,20.6,0.766,9.9,29.3,39.2,19.9,7.2,5.0,14.2,18.9,94.6,MEM,2014
MEM2015,Opponent/G,242.7,36.0,81.5,0.442,8.1,23.0,0.351,27.9,58.5,0.478,14.9,20.1,0.742,10.5,31.9,42.4,20.1,7.4,5.2,15.3,20.3,95.1,MEM,2015
HOU2014,Opponent/G,241.8,39.0,88.0,0.443,8.1,23.0,0.353,30.9,65.0,0.475,17.0,22.5,0.757,11.9,29.7,41.7,22.2,8.6,5.6,14.0,24.3,103.1,HOU,2014
HOU2015,Opponent/G,241.5,37.7,85.2,0.443,7.4,22.9,0.322,30.3,62.2,0.487,17.7,23.6,0.751,11.9,32.0,43.8,21.4,8.9,5.3,16.4,21.1,100.5,HOU,2015
NOP2014,Opponent/G,242.1,37.3,80.1,0.465,8.0,22.3,0.357,29.3,57.8,0.507,20.0,26.5,0.752,10.7,31.0,41.7,22.5,7.0,6.1,14.5,20.3,102.4,NOP,2014
NOP2015,Opponent/G,241.2,37.9,83.1,0.456,6.5,19.6,0.335,31.4,63.5,0.494,16.2,21.4,0.759,10.6,30.9,41.5,20.7,6.8,5.8,12.2,18.7,98.6,NOP,2015
TOR2016,Opponent/G,241.2,36.5,82.1,0.444,8.7,23.4,0.373,27.7,58.7,0.473,16.5,22.1,0.748,9.5,31.2,40.8,21.7,6.5,5.4,13.3,22.0,98.2,TOR,2016
TOR2017,Opponent/G,241.2,37.2,82.9,0.449,9.7,27.3,0.354,27.5,55.6,0.495,18.5,23.8,0.78,10.1,31.9,42.1,21.8,6.7,4.8,14.6,20.3,102.6,TOR,2017
TOR2018,Opponent/G,241.8,38.4,85.6,0.449,8.9,25.0,0.357,29.5,60.6,0.486,18.2,23.7,0.767,9.8,32.6,42.4,21.8,7.2,4.9,14.3,19.9,103.9,TOR,2018
TOR2019,Opponent/G,242.4,40.3,89.7,0.449,10.8,31.2,0.345,29.5,58.5,0.505,17.1,22.3,0.765,10.6,34.2,44.8,24.5,7.6,4.5,14.9,20.5,108.4,TOR,2019
BOS2016,Opponent/G,241.2,37.5,85.0,0.441,7.8,23.3,0.336,29.7,61.7,0.481,19.7,26.0,0.755,11.4,34.6,46.0,20.9,7.6,5.5,16.4,21.0,102.5,BOS,2016
BOS2017,Opponent/G,240.9,38.6,85.8,0.45,9.0,27.0,0.332,29.7,58.8,0.505,19.1,24.9,0.769,10.8,33.8,44.5,22.6,7.6,5.2,13.9,20.3,105.4,BOS,2017
BOS2018,Opponent/G,241.5,37.4,85.0,0.44,9.4,27.7,0.339,28.0,57.4,0.488,16.3,21.3,0.763,9.6,34.2,43.8,21.3,7.2,4.4,14.1,19.2,100.4,BOS,2018
BOS2019,Opponent/G,241.2,39.5,88.1,0.448,11.5,33.5,0.344,28.0,54.6,0.513,17.4,22.8,0.764,10.4,35.5,45.9,23.7,6.8,3.9,15.1,19.5,108.0,BOS,2019
NYK2016,Opponent/G,241.5,38.0,85.8,0.443,7.6,22.4,0.341,30.3,63.4,0.479,17.5,23.2,0.754,10.9,33.3,44.2,20.8,7.2,4.2,11.3,18.5,101.1,NYK,2016
NYK2017,Opponent/G,242.1,39.7,87.4,0.455,9.8,28.2,0.348,29.9,59.1,0.506,18.7,24.2,0.771,11.6,33.1,44.7,21.8,7.5,4.6,12.9,18.5,108.0,NYK,2017
NYK2018,Opponent/G,241.8,39.4,86.3,0.457,11.2,30.4,0.368,28.2,55.9,0.505,18.0,23.2,0.774,10.2,33.0,43.2,24.0,8.2,4.7,13.4,18.4,108.0,NYK,2018
NYK2019,Opponent/G,241.2,41.9,89.7,0.467,11.8,32.6,0.363,30.1,57.1,0.527,18.2,23.8,0.766,10.7,36.8,47.5,25.6,7.4,5.6,13.2,20.8,113.8,NYK,2019
BRK2016,Opponent/G,240.9,40.8,85.2,0.479,9.5,25.6,0.369,31.3,59.6,0.526,15.0,19.6,0.763,10.2,33.2,43.4,24.5,8.8,5.2,14.2,18.4,106.0,BRK,2016
BRK2017,Opponent/G,240.9,41.6,90.8,0.458,10.0,27.2,0.366,31.7,63.6,0.498,19.3,25.0,0.772,11.0,36.2,47.2,23.0,9.5,5.6,13.3,20.4,112.5,BRK,2017
BRK2018,Opponent/G,242.1,41.7,89.4,0.466,9.0,24.5,0.369,32.6,64.9,0.503,17.9,23.4,0.766,10.4,36.4,46.8,21.7,7.7,5.5,12.4,19.7,110.3,BRK,2018
BRK2019,Opponent/G,243.7,42.2,92.5,0.456,10.3,30.3,0.341,31.9,62.1,0.513,17.6,22.8,0.77,11.0,35.2,46.2,23.7,7.8,5.3,13.5,22.0,112.3,BRK,2019
PHI2016,Opponent/G,241.5,39.7,85.4,0.464,7.8,21.7,0.359,31.9,63.8,0.5,20.5,26.1,0.786,11.1,36.4,47.6,23.4,8.7,5.7,15.1,19.2,107.6,PHI,2016
PHI2017,Opponent/G,241.8,39.6,85.9,0.461,8.9,24.9,0.357,30.7,61.0,0.503,20.1,26.0,0.773,10.8,34.2,45.0,22.7,8.6,5.4,15.1,19.6,108.1,PHI,2017
PHI2018,Opponent/G,241.2,38.0,87.6,0.434,10.1,29.6,0.342,27.9,58.0,0.482,19.1,25.6,0.745,10.0,32.2,42.2,21.7,8.5,5.1,14.3,20.4,105.3,PHI,2018
PHI2019,Opponent/G,241.5,41.7,91.5,0.455,10.3,30.0,0.342,31.4,61.5,0.511,18.8,24.5,0.768,10.0,33.5,43.5,23.4,7.7,4.1,12.7,22.1,112.5,PHI,2019
CLE2016,Opponent/G,242.1,36.8,82.1,0.448,7.9,22.7,0.347,28.9,59.4,0.487,16.8,22.6,0.743,9.3,31.8,41.0,21.4,7.2,4.4,13.3,20.6,98.3,CLE,2016
CLE2017,Opponent/G,242.4,40.6,88.8,0.458,10.4,28.7,0.361,30.3,60.1,0.504,15.5,20.0,0.773,11.0,33.2,44.2,24.7,7.3,4.3,12.6,20.6,107.2,CLE,2017
CLE2018,Opponent/G,240.6,41.8,88.3,0.474,11.7,31.7,0.368,30.2,56.6,0.533,14.6,19.4,0.756,9.9,33.7,43.6,25.9,7.5,4.1,13.5,20.7,109.9,CLE,2018
CLE2019,Opponent/G,240.9,43.2,87.2,0.495,12.0,31.6,0.38,31.2,55.6,0.561,15.8,20.5,0.77,9.5,34.6,44.1,25.7,6.9,5.6,12.5,19.4,114.1,CLE,2019
IND2016,Opponent/G,242.4,37.4,84.9,0.44,8.3,24.8,0.334,29.1,60.1,0.484,17.4,23.2,0.751,10.7,33.8,44.5,20.8,7.7,4.5,15.8,20.4,100.5,IND,2016
IND2017,Opponent/G,242.1,38.0,84.3,0.451,10.4,29.1,0.355,27.6,55.1,0.501,19.0,24.1,0.789,10.7,33.5,44.3,22.3,8.1,5.0,14.9,19.5,105.3,IND,2017
IND2018,Opponent/G,240.9,39.4,84.8,0.465,10.6,30.4,0.349,28.8,54.4,0.53,14.8,19.5,0.757,10.2,32.8,43.0,23.2,7.0,5.2,15.5,18.5,104.2,IND,2018
IND2019,Opponent/G,240.3,38.7,86.1,0.45,11.4,32.1,0.354,27.4,54.0,0.507,15.8,21.0,0.756,10.5,33.1,43.7,24.5,7.4,5.2,15.7,20.0,104.7,IND,2019
DET2016,Opponent/G,242.4,38.8,84.2,0.461,7.3,20.5,0.355,31.5,63.7,0.495,16.5,21.0,0.783,8.8,33.7,42.5,21.5,7.1,4.5,13.4,21.6,101.4,DET,2016
DET2017,Opponent/G,241.5,38.3,83.3,0.46,9.4,25.6,0.366,29.0,57.7,0.502,16.4,21.0,0.78,8.0,34.9,42.9,23.5,6.7,4.1,12.8,17.5,102.5,DET,2017
DET2018,Opponent/G,241.5,39.1,85.2,0.459,11.1,30.8,0.359,28.0,54.4,0.515,14.6,18.9,0.776,9.2,34.5,43.8,25.2,7.3,4.9,14.8,18.4,103.9,DET,2018
DET2019,Opponent/G,242.1,39.9,85.0,0.469,9.6,27.8,0.345,30.3,57.2,0.53,17.9,23.7,0.755,9.1,34.6,43.7,23.7,6.9,5.1,14.1,21.3,107.3,DET,2019
CHI2016,Opponent/G,242.7,39.4,89.4,0.441,7.9,23.0,0.345,31.5,66.4,0.474,16.3,22.1,0.737,11.8,34.1,45.9,22.5,8.0,5.7,11.9,18.7,103.1,CHI,2016
CHI2017,Opponent/G,241.2,39.5,86.6,0.456,8.9,25.9,0.345,30.5,60.7,0.503,14.6,19.0,0.77,10.3,32.9,43.2,23.6,7.3,4.6,13.4,18.8,102.4,CHI,2017
CHI2018,Opponent/G,242.1,41.0,86.8,0.472,12.1,32.7,0.37,28.9,54.1,0.534,15.9,20.2,0.787,8.4,37.2,45.7,25.9,7.2,5.2,13.6,17.4,110.0,CHI,2018
CHI2019,Opponent/G,242.7,42.2,89.2,0.473,12.1,33.0,0.365,30.2,56.2,0.537,16.8,22.0,0.763,10.0,36.4,46.4,25.5,7.3,5.8,13.3,18.7,113.4,CHI,2019
MIL2016,Opponent/G,241.8,37.8,83.1,0.454,9.3,26.5,0.352,28.4,56.7,0.502,18.4,23.9,0.768,11.5,31.5,43.0,24.5,8.3,5.6,15.5,19.5,103.2,MIL,2016
MIL2017,Opponent/G,241.2,38.0,83.0,0.458,10.0,28.2,0.353,28.0,54.8,0.512,17.9,23.2,0.771,10.3,32.1,42.5,24.1,7.4,4.6,14.7,19.3,103.8,MIL,2017
MIL2018,Opponent/G,241.8,39.1,83.7,0.468,10.1,27.1,0.372,29.0,56.6,0.513,18.4,23.5,0.783,10.0,32.8,42.7,23.6,7.1,4.5,15.6,19.9,106.8,MIL,2018
MIL2019,Opponent/G,241.2,40.5,93.5,0.433,13.1,36.3,0.361,27.4,57.2,0.479,15.1,20.7,0.733,9.9,35.4,45.3,24.8,6.8,4.8,13.4,20.2,109.3,MIL,2019
MIA2016,Opponent/G,241.8,37.2,84.3,0.442,7.4,21.2,0.347,29.9,63.1,0.474,16.5,21.5,0.77,9.8,31.5,41.3,20.2,7.5,4.1,12.9,19.6,98.4,MIA,2016
